CH1,CH2,CH3,CH4
729,730,730,733
727,729,728,732
726,727,724,728
725,725,722,725
724,724,720,723
723,723,719,721
721,723,718,722
722,725,719,724
724,728,719,726
727,729,723,729
732,734,730,736
732,734,733,738
733,735,734,739
734,736,734,738
733,735,733,738
731,733,733,739
730,731,733,735
730,728,731,734
727,728,729,731
725,726,726,728
724,724,724,726
723,723,721,725
723,722,719,722
723,724,720,721
724,725,721,724
726,727,725,728
728,730,726,730
732,733,732,736
733,735,736,739
735,735,739,740
734,736,738,738
732,734,734,736
731,732,731,735
729,731,730,733
729,730,729,732
726,727,725,728
724,725,725,728
724,725,723,727
723,725,720,723
723,723,717,720
724,722,719,722
725,726,721,724
728,728,724,728
728,730,727,731
732,734,733,737
734,735,736,739
736,735,736,742
734,734,735,739
731,733,734,735
731,732,731,734
729,729,731,732
728,729,728,731
725,726,724,728
724,724,722,724
722,724,722,724
722,724,720,722
721,724,718,719
723,725,720,723
724,726,724,726
727,730,726,729
732,734,732,736
733,734,734,738
734,734,736,739
733,736,737,738
733,735,733,736
733,732,732,734
730,731,731,733
729,729,727,732
726,728,728,732
725,725,726,729
723,725,724,726
722,724,720,721
723,723,717,721
724,723,719,724
724,726,722,725
727,727,725,728
728,729,728,730
732,733,733,735
733,734,737,738
735,735,739,740
736,735,737,739
733,732,735,737
731,731,731,734
730,730,730,736
728,729,730,733
725,726,725,726
725,725,723,726
724,725,723,727
722,723,720,722
721,723,718,720
723,725,719,722
725,726,721,723
727,728,722,729
729,731,725,733
732,733,729,736
733,735,732,740
734,737,734,740
734,735,731,737
732,733,730,736
731,731,731,736
730,730,731,734
729,728,732,732
725,726,729,729
724,724,728,728
724,723,725,725
723,722,720,723
722,722,721,720
723,725,721,725
726,727,725,727
728,729,726,728
734,733,733,736
733,734,734,737
733,735,737,740
733,735,737,739
731,735,734,736
731,732,732,736
730,731,732,735
730,730,730,732
727,727,728,730
725,725,725,727
724,725,723,726
723,724,720,722
723,723,717,721
723,723,720,724
724,725,721,724
728,727,723,728
728,728,726,730
732,733,731,736
734,734,736,740
735,735,737,741
736,734,736,740
732,733,735,736
731,731,733,733
730,729,733,733
728,729,730,732
726,726,726,728
724,724,724,726
723,723,723,725
722,722,721,723
721,724,718,719
723,724,719,721
724,727,721,723
727,729,724,727
730,730,729,733
733,734,733,737
734,735,737,740
734,736,738,742
735,735,735,738
732,732,733,736
731,731,733,734
729,730,730,732
729,728,728,731
726,726,725,727
724,724,723,726
723,724,721,725
724,723,719,723
723,722,719,721
724,725,720,723
727,726,724,727
727,729,726,728
732,733,731,733
733,734,734,737
734,735,737,741
735,735,738,742
733,733,735,737
732,732,733,735
731,730,731,735
728,730,730,733
727,727,727,729
725,726,725,727
